ADDRESS,PROPERTY MANAGEMENT COMPANY,NOTES,BARCODE #,Price/month,Area,start up date,"STATUS- (ACTIVE, CANCELLED, ON HOLD)",KEYS,TEST DAY,ANNUAL,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,,,,,
1010 Mckenzie Avenue,Starlight/Devon,,,$55.00,"Saanich, BC",Sep-24,ACTIVE,M 0001,W1-R6,February,Y,ANNUAL,Y,Y,Y,X,X,Y,Y,Y,Y,Y,,,,,
1012 Collinson Street                                                         ,Hutton,,,$55.00,"Victoria, BC",,ACTIVE,"M 2101
K3",TH1-R9,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1013 Vancouver Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,183,TH1-R8,May,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,,,,,
1015 Kings Road,Darioush Diba,,,$55.00,"Victoria, BC",Sep-20,ACTIVE,KQ 5101,M1-R3,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
10159 Third Street,Realstar Management ,,,$55.00,"Sidney, BC",,ACTIVE,93,F2-R16,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1017 Queens Avenue,Starlight/Devon,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,111,M1-R3,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1019 McClure Street,Strata Plan VIS 308,,,$65.00,"Victoria, BC",Nov-23,ACTIVE,CL 9101,TH1-R9,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1019 Rockland Avenue,Century 21 ,,,$55.00,"Victoria, BC",Jul-15,ACTIVE,"ST 9101
K2",M1-R2,December,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1020 Park Boulevard,Pemberton Holmes,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,92,TU3-R18,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1020 Pembroke Street,Brown Bros.,,,$55.00,"Victoria, BC",Apr-16,ACTIVE,"RT 0201
K2",M1-R3,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,Y,,,,,
1024 Fairfield Road,Firm Management,,,$55.00,"Victoria, BC",Jun-14,ACTIVE,"WT 4201
K3",TH1-R9,November,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
1025 Johnson Street,Devon Properties,,,$60.00,"Victoria, BC",Apr-23,ACTIVE,"JD 5201
K5-F2",TH1-R8,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1026 Johnson Street                                          ,Firm Management,,,$55.00,"Victoria, BC",Jul-14,ACTIVE,"WS 6201
K4-F1",TH1-R8,July,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1030 Pendergast Street,Starlight/Devon,,,$70.00,"Victoria, BC",Sep-23,ACTIVE,GT 0301,TU3-R18,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,Y,,,,,
1031 Burdett Avenue,Hutton,cancelled service- Nov 8/24 (tw),,$55.00,"Victoria, BC",Sep-15,CANCELLED,"BA 1301
K2",-,December,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
1032 North Park,Pacific Quorum,,,$55.00,"Victoria, BC",Apr-23,ACTIVE,435,M1-R3,March,X,Y,X,ANNUAL,X,X,X,Y,Y,Y,Y,Y,,,,,
1035 Belmont Avenue,Belmont Properties,"Months on invoice
",,$55.00,"Victoria, BC",Apr-23,ACTIVE,445,TH1-R9,August,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1035 Pendergast Street,Starlight/Devon,,,$70.00,"Victoria, BC",Sep-23,ACTIVE,GT 0301,TU3-R18,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,Y,,,,,
1036 Stellys Cross Road,Devon Properties,,,$50.00,"Brentwood Bay, BC",,ACTIVE,424,TU2-R12,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
104 Dallas Road,Strata #1374 The Dolphins,,,$55.00,"Victoria, BC",Mar-20,ACTIVE,"SP 401
K1-F1",W3-R20,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1040 Stellys Cross Road,Devon Properties,,,$50.00,"Brentwood Bay, BC",,ACTIVE,424,TU2-R12,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
1041 Fairfield Road,Pemberton Holmes,,,$50.00,"Victoria, BC",,ACTIVE,68,M1-R2,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1041 Richardson Road,Capital West,,,$60.00,"Victoria, BC",Jun-23,ACTIVE,RR 1401,TH1-R9,June,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
1045 McClure Street,Brown Bros.,,,$50.00,"Victoria, BC",,ACTIVE,332,M1-R2,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
10459 Resthaven Drive,Proline,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,392,F2-R16,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
10461 Resthaven Drive,Proline,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,392,F2-R16,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1049 Southgate Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,186,TU3-R18,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
105 Wilson Street,Pacifica Housing,,,$65.00,"Esquimalt, BC",Aug-24,ACTIVE,W 501,W1-R7,July,Y,X,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,,,,,
1050 Park Boulevard,Hutton,"$60/month
(incl. hose, ext, mag lock check)",,$60.00,"Victoria, BC",Dec-21,ACTIVE,"P 0501
K2",M2-R11,March,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
10520 McDonald Park,Complete Residential Property Management,,,$75.00,"Sidney, BC",Apr-25,ACTIVE,DN 02501,F2-R16,October,-,-,-,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
1055 Hillside Avenue,Firm Management,,,$55.00,"Victoria, BC",Nov-16,ACTIVE,LM 5501,W1-R6,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1057 Moss Street,Tim Slater,Charge CC in ST and email receipt ,,$60.00,"Victoria, BC",Feb-24,ACTIVE,SM 7501,TH1-R9,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1060 Craigdarroch Road,Pemberton Holmes,,,$50.00,"Esquimalt, BC",,ACTIVE,373,TH1-R9,March,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,,,
1060 Goldstream Avenue,Centurion Properties, Months on invoice,,$55.00,"Langford, BC",Jan-23,ACTIVE,412,TU1-R5,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1060 Southgate Street,Southgate Manor ,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,42,TU3-R18,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1066 Foul Bay Road,Newport Property,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,124,TU2-R13,July,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1069 Southgate Street,Newport Property Management,,,$50.00,"Victoria, BC",,ACTIVE,307,M1-R2,March,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1088 Johnson Street,Centurion Property Associates Inc.,Months on invoice,,$125.00,"Victoria, BC",Jun-25,ACTIVE,HJ 8801,TH1-R8,May,-,-,-,X,Y,X,Y,Y,Y,Y,Y,Y,,,,,
109 Wilson Street,Pacifica Housing,,,$65.00,"Esquimalt, BC",Aug-24,ACTIVE,A 901,W1-R7,July,Y,X,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,X,,,,,
1090 Johnson Street,Firm Management,,,$60.00,"Victoria, BC",Apr-23,ACTIVE,TM 0901,TH1-R8,March,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1097 View Street,Firm Management ,,,$125.00,"Victoria, BC",Feb-24,ACTIVE,VS 7901,TH1-R9,May,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
110 Douglas Street,Devon Properties,,,$50.00,"Victoria, BC",,ACTIVE,344,TU3-R18,August,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1106 Balmoral Road,Peter Hejjas,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,127,M1-R3,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1110 Samar Crescent,Breakwater Realty Inc.  ,Building A,,$75.00,"Langford, BC",Jun-25,ACTIVE,MS 0111,TU1-R5,November,-,-,-,-,-,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
1111 Hillside Avenue,Complete Residential,,,$55.00,"Victoria, BC",,ACTIVE,OP 1111,M1-R1,July,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1114 Samar Crescent,Breakwater Realty Inc.  ,Building B,,$75.00,"Langford, BC",Jun-25,ACTIVE,MS 0111,TU1-R5,November,-,-,-,-,-,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
1115 Craigflower Road,Proline,$65/month (A),,$65.00,"Esquimalt, BC",Jul-21,ACTIVE,"IW 5111
K6-G1",W2-R22,August,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,X,Y,,,,,
1120 Blanshard Street,Equitex ,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,N/A,TH2-R15,February,X,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1120 Burdett Ave,Devon Properties,,,$55.00,"Victoria, BC",Oct-24,ACTIVE,B0211,TH1-R9,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1120 Richardson Street,Gibraltar,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,4,TH1-R9,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1120 Yates Street,Colliers,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,321,TH1-R8,November,Y,Y,Y,Y,Y,X,X,Y,X,X,ANNUAL,Y,,,,,
1122 Hilda Street,Pemberton Strata,,,$50.00,"Victoria, BC",,ACTIVE,427,TU2-R13,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
1122 McKenzie Street,Pemberton Holmes,,,$50.00,"Victoria, BC",,ACTIVE,100,M1-R2,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1125 Douglas Street,Arpeg Holdings Cactus Club,single panel share with 702 Fort Street,,$65.00,"Victoria, BC",Sep-12,ACTIVE,MEET KEN COOPER,TH2-R15,April,Y,Y,Y,Y,Y,ANNUAL,Y,X,Y,Y,Y,Y,,,,,
1125 Hillside Avenue,Devon Properties,,,$55.00,"Victoria, BC",Sep-24,CANCELLED,H 5211,-,August,Y,Y,Y,Y,-,-,-,-,-,-,-,-,,,,,
1126 Rockland Avenue,Starlight/Devon,,,$70.00,"Victoria, BC",Sep-23,ACTIVE,LD 6211,TH1-R9,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1127 Wharf Street,Darcy's Pub,,,$55.00,"Victoria, BC",Jun-14,ACTIVE,KEY AT SITE,TH2-R15,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
1130 Fort Street,Pacifica Housing,,,$65.00,"Victoria, BC",Aug-24,ACTIVE,F 0311,TH1-R9,July,Y,Y,Y,X,Y,Y,ANNUAL,Y,Y,Y,X,Y,,,,,
1132 McClure Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,162,TH1-R9,August,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1133A Reynolds Road,Abbeyfield St. Peters,,,$55.00,"Saanich, BC",,ACTIVE,PQ 3311,TU1-R4,February,Y,Y,Y,Y,X,X,X,X,Y,Y,Y,Y,,,,,
1137-1139 Yates Street,Equitex Property Management,,,$75.00,"Victoria, BC",Jul-25,ACTIVE,TY 7311,M1-R1,October,-,-,-,-,-,-,Y,Y,Y,Y,Y,Y,,,,,
1145 Bay Street,Ashton Oaks c/o Gateway Prop,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,322,M1-R3,September,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1150 Hilda Street,Devon Properties,,,$60.00,"Victoria, BC",Jun-24,ACTIVE,AH 0511,M1-R2,August,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
1150 Queens Avenue,Pacific Quorum,,,$65.00,"Victoria, BC",,ACTIVE,406,M1-R1,January,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1150 Rockland Avenue,Pemberton Holmes,,,$50.00,"Victoria, BC",,ACTIVE,346,M1-R2,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1160 Esquimalt Road,Starlight/Devon,,,$55.00,"Victoria, BC",Nov-24,ACTIVE,EQ 611,W1-R7,December,ANNUAL,Y,X,Y,Y,X,Y,Y,Y,Y,Y,X,,,,,
1160 Richardson Street,Lee & Sharpe,,,$50.00,"Victoria, BC",,ACTIVE,164,M1-R2,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1165 Meares Street,Pemberton Holmes (new June 13/24),,,$55.00,"Victoria, BC",Jan-15,ACTIVE,"MA 5611
K2",M1-R2,July,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1165 Yates Street,Devon properties,,,$50.00,"Victoria, BC",,ACTIVE,340,M1-R1,February,Y,Y & ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1166 Rockland Avenue                      ,Freelance,,,$55.00,"Victoria, BC",,ACTIVE,"K 6611
K3",TH1-R9,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1177 Esquimalt Road,Devon Properties,,,$50.00,"Esquimalt, BC",Jan-23,ACTIVE,368,W1-R7,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,X,,,,,
1178 Beach Drive,Devon Properties,,,$50.00,"Oak Bay, BC",Jan-23,ACTIVE,108,TU2-R13,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
118 Croft Street,Brown Bros.,,,$50.00,"Victoria, BC",,ACTIVE,366,W3-R20,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
1180 Colville Road,Starlight Properties c/o Devon Properties,,,$65.00,"Esquimalt, BC",Nov-23,ACTIVE,CR 0811,W2-R22,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,,,,,
1180 View Street,Devon Properties,,,$50.00,"Victoria, BC",,ACTIVE,404,M1-R1,July,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1185 Yates Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,386,TH1-R9,May,Y,Y,Y,Y,ANNUAL,Y,X,Y,Y,Y,Y,Y,,,,,
1190 May Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,409,TU2-R13,February,Y,ANNUAL,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,,,,,
1194 Esquimalt Road,Capital West,,,$60.00,"Esquimalt, BC",Jun-23,ACTIVE,FM 4911,W1-R7,March,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,,,,,
1196 Clovelly Terrace,1196 Strata Corp VIS5164,,,$55.00,"Victoria, BC",Apr-21,ACTIVE,No Key,W1-R6,March,Y,Y,ANNUAL,X,X,X,Y,Y,Y,Y,Y,Y,,,,,
1196 Sluggett Road,Firm Management,,,$55.00,"Brentwood Bay, BC",Jun-21,ACTIVE,OW 6911,TU2-R12,August,Y,Y,Y,X,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
120 Douglas Street,Oakwood,,,$55.00,"Victoria, BC",,ACTIVE,"AT 021
K3",TU3-R18,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
"120 Gorge Road East - Building ""A""",Victoria Native Friendship Centre  ,,,$55.00,"Victoria, BC",Aug-25,ACTIVE,,W2-R22,February,-,-,-,-,-,-,-,Y,Y,Y,X,Y,,,,,
"120 Gorge Road East - Building ""B""",Victoria Native Friendship Centre  ,,,$55.00,"Victoria, BC",Aug-25,ACTIVE,,W2-R22,February,-,-,-,-,-,-,-,Y,Y,Y,X,Y,,,,,
1208 Rockland Avenue,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,133,TH1-R9,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1209 & 1229 Clarke Road,Central Saanich Municipality,"$65/month (A).  
PO & Months Required ",,$65.00,"Brentwood Bay, BC",Dec-20,ACTIVE,"CC 9021 
K4",TU2-R12,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1210 Tattersall Drive,Bross Holdings,,,$55.00,"Victoria, BC",Feb-25,ACTIVE,TT 0121,W1-R6,June,X,Y,Y,Y,X,ANNUAL,X,X,Y,Y,Y,Y,,,,,
1216 Johnson Street,Devon Properties,Previously R8 - Changed in November 2025,,$50.00,"Victoria, BC",Jan-23,ACTIVE,180,TH1-R9,January,ANNUAL,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,,,,,
1217 Pandora Avenue,South Island Property Management,,,$55.00,"Victoria, BC",Jan-25,ACTIVE,RP 7121,TH1-R8,November,X,Y,Y,Y,X,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
1220 Pandora Avenue,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,136,M1-R3,November,Y,Y,Y,X,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1222 Douglas Street,Firm Management,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,DR 2221,TH2-R15,October,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1224 Balmoral Road,Starlight c/o Devon Properties,,,$55.00,"Victoria, BC",Nov-24,ACTIVE,B4221,M1-R3,June,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1226 Johnson Street,Pemberton Holmes - Residential,Previously R8 - Changed in November 2025,,$65.00,"Victoria, BC",Jul-25,ACTIVE,HJ 1226,TH1-R9,June,-,-,-,-,-,ANNUAL,Y,X,X,Y,Y,Y,,,,,
1229 Esquimalt Road,Township of Esquimalt,,,$55.00,"Esquimalt, BC",May-21,ACTIVE,No Key,W1-R7,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,X,,,,,
1230 Fort Street,Pacific Quorum,Cancelled November 2025 - keys on X binder,,$50.00,"Victoria, BC",Jan-23,CANCELLED,405,-,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,-,-,,,,,
1230 Verdier Avenue,Starlight/Devon,Increase to $65 after January 2026,,$50.00,"Brentwood Bay, BC",Jan-23,ACTIVE,440,TU2-R12,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1233 Fairfield Road,Starlight/Devon,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,178,TU2-R13,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1234 Fort Street,Hutton,Previously R8 - Changed in May 2025,,$55.00,"Victoria, BC",Dec-20,ACTIVE,"CP 4321
K2",TH1-R9,February,Y,ANNUAL,X,X,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1234 Wharf Street,Complete Residential,,,$55.00,"Victoria, BC",Feb-19,CANCELLED,Key at Front Desk,-,August,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
1236 Pandora Avenue,Starlight/Devon,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,136,M1-R3,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
1236 Verdier Avenue,Starlight/Devon,Increase to $65 after January 2026,,$50.00,"Brentwood Bay, BC",Jan-23,ACTIVE,440,TU2-R12,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1249 Rockland Avenue,Sanpra Real Estate,,,$50.00,"Victoria, BC",,ACTIVE,137,M1-R2,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
125 Croft Street,Pacific Cove,,,$60.00,"Victoria, BC",May-24,ACTIVE,TC 521,W3-R20,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1250 Wharf Street,Servissio Property Services Ltd.,,,$55.00,"Victoria, BC",Dec-20,ACTIVE,"TG 0521
K4",TH3-R21,January,Y & ANNUAL,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,,,,,
1252 Pandora Avenue,Brown Bros.,,,$55.00,"Victoria, BC",Nov-10,ACTIVE,"TA 2521
K2",M1-R3,December,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1255 Denman Street,Devon Properties,,,$50.00,"Victoria, BC",,ACTIVE,408,M1-R3,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
127 Howe Street,Newport Property,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,101,TU2-R13,September,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1270 Beach Drive,Associa,,,$50.00,"Oak Bay, BC",Jan-23,ACTIVE,306,TU2-R13,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
