address,month_date,row_number
2151 Lannon Way,2025-05-01,265
2151 Lannon Way,2025-07-01,265
2161 Haultain Street,2025-12-01,266
2170 Haultain Street,2025-03-01,268
2181 Haultain Street,2025-05-01,269
2181 Haultain Street,2025-12-01,269
2233 Bowker Avenue,2025-04-01,275
2243 Beacon Avenue,2025-03-01,276
2243 Beacon Avenue,2025-04-01,276
2261 Keating Cross Road,2025-01-01,279
2261 Keating Cross Road,2025-08-01,279
2290 Henry Avenue,2025-06-01,282
231 Regina Avenue,2025-11-01,286
2311 Mills Road,2025-04-01,287
235 Michigan Street,2025-10-01,293
2440 Oakville Avenue,2025-09-01,300
2476 Mt. Newton Cross Road,2025-03-01,304
2490 Bevan Avenue,2025-09-01,305
2530 Mt Newton Cross Road,2025-03-01,309
2610 Graham Street,2025-09-01,318
2626 Blackwood Street,2025-01-01,319
2680 Blanshard Street,2025-02-01,327
2680 Prior Street,2025-04-01,328
275 Burnside Road W,2025-11-01,334
2751 Shelbourne Street,2025-03-01,335
2790 Cedar Hill Road,2025-01-01,338
2790 Cedar Hill Road,2025-02-01,338
2790 Cedar Hill Road,2025-04-01,338
2790 Cedar Hill Road,2025-06-01,338
2790 Cedar Hill Road,2025-07-01,338
2790 Cedar Hill Road,2025-08-01,338
2849 Bryn Maur Road,2025-01-01,345
2849 Bryn Maur Road,2025-04-01,345
2854 Peatt Road,2025-10-01,346
2931 Qu'Appelle Street,2025-11-01,349
2947 Qu'Appelle Street,2025-11-01,350
3008-3010 Washington Avenue,2025-11-01,353
31 Bastion Square,2025-04-01,358
3157 Tillicum Road,2025-06-01,360
3157 Tillicum Road,2025-11-01,360
3160 Albina Street,2025-06-01,362
3160 Albina Street,2025-11-01,362
3185 Tillicum Road,2025-06-01,363
3185 Tillicum Road,2025-11-01,363
3221 Cedar Hill Cross Road,2025-06-01,365
3221 Cedar Hill Cross Road,2025-07-01,365
3226 Alder Street,2025-05-01,366
3277 Glasgow Avenue,2025-02-01,369
3277 Glasgow Avenue,2025-05-01,369
3277 Glasgow Avenue,2025-06-01,369
328-454 Burnside Road W & 3528-3628 Tillicum Road,2025-04-01,370
331/333 Robert Street,2025-12-01,371
335 St. James Street,2025-09-01,374
341 Latoria Boulevard,2025-12-01,378
344 Goldstream Avenue,2025-01-01,380
345 Latoria Boulevard,2025-12-01,384
3610 + 3614 Richmond Road & 1696 Pear Street,2025-09-01,391
364 Moss Street,2025-07-01,392
3861 Shelbourne Street,2025-06-01,394
3861 Shelbourne Street,2025-08-01,394
3880 Shelbourne Street,2025-06-01,395
3880 Shelbourne Street,2025-08-01,395
3915 Carey Road,2025-04-01,398
4026 Quadra Street,2025-06-01,402
4030 Shelbourne Street,2025-07-01,403
4030 Shelbourne Street,2025-08-01,403
4030 Shelbourne Street,2025-09-01,403
4036 Quadra Street,2025-06-01,404
4036 Quadra Street,2025-07-01,404
4036 Quadra Street,2025-08-01,404
4038 Quadra Street,2025-06-01,405
4038 Quadra Street,2025-07-01,405
4038 Quadra Street,2025-08-01,405
404 Dundas Street,2025-12-01,406
410 Garbally Road,2025-01-01,408
4144 Wilkinson Road,2025-04-01,409
415 Dunedin Avenue,2025-01-01,410
415 Dunedin Avenue,2025-04-01,410
420 Catherine Street,2025-07-01,413
420 Catherine Street,2025-12-01,413
421 Vancouver Street,2025-01-01,415
425 Wilson Street,2025-02-01,419
425 Wilson Street,2025-12-01,419
4420 Chatterton Way,2025-08-01,424
4490 Chatterton Way,2025-08-01,429
470 Belleville Street,2025-01-01,437
470 Belleville Street,2025-02-01,437
470 Belleville Street,2025-03-01,437
470 Belleville Street,2025-04-01,437
470 Belleville Street,2025-10-01,437
500 Fort Street,2025-01-01,439
500 Fort Street,2025-02-01,439
500 Fort Street,2025-03-01,439
502 Dallas Road,2025-05-01,441
505 Quadra Street,2025-04-01,442
505 Su'it Street,2025-08-01,443
524 Culduthel Road,2025-01-01,452
532 & 536 Herald Street,2025-03-01,454
532 & 536 Herald Street,2025-04-01,454
532 & 536 Herald Street,2025-05-01,454
540 West Bay Terrace,2025-12-01,458
55 Songhees Road,2025-02-01,461
55 Songhees Road,2025-12-01,461
600 Douglas Street,2025-04-01,467
600 Richmond Road,2025-09-01,468
600 Richmond Road,2025-10-01,468
601 Canteen Road,2025-12-01,469
612 Goldstream Avenue,2025-01-01,471
614 Esquimalt Road,2025-12-01,472
616 Goldstream Avenue,2025-01-01,473
620 View Street,2025-05-01,474
625 Fernhill Road,2025-12-01,477
625 Hillside Avenue,2025-03-01,478
636 Dallas Road,2025-01-01,480
636 Dallas Road,2025-02-01,480
636 Dallas Road,2025-05-01,480
636 Fisgard Street,2025-01-01,481
636 Fisgard Street,2025-03-01,481
636 Fisgard Street,2025-04-01,481
636 Fisgard Street,2025-07-01,481
636 Fisgard Street,2025-08-01,481
636 Fisgard Street,2025-12-01,481
650 View Street,2025-06-01,485
650 View Street,2025-08-01,485
650 View Street,2025-09-01,485
650 View Street,2025-10-01,485
650 View Street,2025-11-01,485
651 Jolly Place,2025-06-01,486
663 Goldstream Avenue,2025-01-01,490
709-715 Yates Street,2025-10-01,501
711 Hillside Avenue,2025-10-01,504
719-725 Yates Street,2025-08-01,507
719-725 Yates Street,2025-09-01,507
719-725 Yates Street,2025-10-01,507
723 Field Street,2025-11-01,510
728 Yates Street,2025-08-01,512
733 Goldstream Avenue,2025-01-01,514
777 Royal Oak Drive (100),2025-08-01,529
780 Kings Road,2025-01-01,531
780 Kings Road,2025-04-01,531
780 Kings Road,2025-05-01,531
7840 Lochside Drive,2025-03-01,533
7860 Wallace Drive,2025-04-01,534
7860 Wallace Drive,2025-10-01,534
7860 Wallace Drive,2025-12-01,534
7878 E. Saanich Road,2025-03-01,535
803 Esquimalt Road,2025-12-01,539
810 Blanshard Street,2025-02-01,541
810 Blanshard Street,2025-03-01,541
810 Blanshard Street,2025-05-01,541
810 Blanshard Street,2025-06-01,541
810 Blanshard Street,2025-08-01,541
818 Broughton Street,2025-10-01,543
818 Broughton Street,2025-11-01,543
818 Fort Street,2025-03-01,544
829 Fisgard Street,2025-05-01,547
830 Pembroke Street,2025-01-01,548
831 Dunsmuir Road,2025-12-01,549
836 Yates Street,2025-05-01,551
836 Yates Street,2025-06-01,551
836 Yates Street,2025-08-01,551
836 Yates Street,2025-09-01,551
836 Yates Street,2025-10-01,551
836 Yates Street,2025-11-01,551
837 Ellery Street,2025-11-01,552
843 Craigflower Road,2025-02-01,556
843 Craigflower Road,2025-11-01,556
845 Yates Street,2025-05-01,558
845 Yates Street,2025-06-01,558
845 Yates Street,2025-07-01,558
845 Yates Street,2025-09-01,558
853 Burdett Avenue,2025-01-01,561
855 Ellery Street,2025-02-01,562
855 Ellery Street,2025-11-01,562
866 Craigflower Road,2025-02-01,563
866 Craigflower Road,2025-11-01,563
875 North Park Street,2025-01-01,564
875 North Park Street,2025-02-01,564
879 Esquimalt Road,2025-12-01,566
880 McKenzie Avenue,2025-01-01,567
880 McKenzie Avenue,2025-02-01,567
880 McKenzie Avenue,2025-06-01,567
880 McKenzie Avenue,2025-07-01,567
880 McKenzie Avenue,2025-12-01,567
903 Esquimalt Road,2025-12-01,573
911 Yates Street & 990 View Street,2025-05-01,579
911 Yates Street & 990 View Street,2025-06-01,579
911 Yates Street & 990 View Street,2025-07-01,579
911 Yates Street & 990 View Street,2025-08-01,579
911 Yates Street & 990 View Street,2025-10-01,579
911 Yates Street & 990 View Street,2025-11-01,579
912 Selkirk Avenue,2025-11-01,580
914 Yates Street,2025-05-01,581
914 Yates Street,2025-06-01,581
914 Yates Street,2025-07-01,581
914 Yates Street,2025-08-01,581
914 Yates Street,2025-09-01,581
914 Yates Street,2025-11-01,581
925 Esquimalt Road,2025-12-01,586
938 Dunford Ave,2025-02-01,588
938 Dunford Ave,2025-03-01,588
9710 2nd Street,2025-07-01,595
9710 2nd Street,2025-08-01,595
9710 2nd Street,2025-09-01,595
9762 Third Street,2025-09-01,596
9810 Seventh Street,2025-05-01,597
9810 Seventh Street,2025-12-01,597
9810 Seventh Street,2025-01-01,598
984 Mckenzie Avenue,2025-06-01,602
984 Mckenzie Avenue,2025-07-01,602
9851 Seaport Place,2025-05-01,604
9851 Second Street,2025-01-01,605
9851 Second Street,2025-02-01,605
9911 McDonald Park,2025-05-01,616
9911 McDonald Park,2025-12-01,616
9960 4th Street,2025-02-01,620
612 Constance Avenue,2025-12-01,643
